state,year,state_tax,local_tax,standard_tax
New Jersey,2011,7.0,0.0,7.0
New Mexico,2011,5.125,2.01,7.135
New York,2011,4.0,4.52,8.52
North Carolina,2011,5.75,2.07,7.82
North Dakota,2011,5.0,0.57,5.57
Ohio,2011,5.5,1.28,6.78
Oklahoma,2011,4.5,3.83,8.33
Oregon,2011,0.0,0.0,0.0
Pennsylvania,2011,6.0,0.34,6.34
Rhode Island,2011,7.0,0.0,7.0
South Carolina,2011,6.0,1.25,7.25
South Dakota,2011,4.0,1.22,5.22
Tennessee,2011,7.0,2.44,9.44
Texas,2011,6.25,1.36,7.61
Utah,2011,5.95,0.67,6.62
Vermont,2011,6.0,0.0,6.0
Virginia,2011,5.0,0.0,5.0
Washington,2011,6.5,2.14,8.64
West Virginia,2011,6.0,0.0,6.0
Wisconsin,2011,5.0,0.42,5.42
Wyoming,2011,4.0,1.3,5.3
Alabama,2015,4.0,4.91,8.91
Alaska,2015,0.0,1.76,1.76
Arizona,2015,5.6,2.57,8.17
Arkansas,2015,6.5,2.76,9.26
California,2015,7.5,0.94,8.44
Colorado,2015,2.9,4.54,7.4399999999999995
Connecticut,2015,6.35,0.0,6.35
Delaware,2015,0.0,0.0,0.0
District of Columbia,2015,5.75,0.0,5.75
Florida,2015,6.0,0.65,6.65
Georgia,2015,4.0,2.96,6.96
Hawaii,2015,4.0,0.35,4.35
Idaho,2015,6.0,0.01,6.01
Illinois,2015,6.25,1.94,8.19
Indiana,2015,7.0,0.0,7.0
Iowa,2015,6.0,0.78,6.78
Kansas,2015,6.15,2.05,8.2
Kentucky,2015,6.0,0.0,6.0
Louisiana,2015,4.0,4.91,8.91
Maine,2015,5.5,0.0,5.5
Maryland,2015,6.0,0.0,6.0
Massachusetts,2015,6.25,0.0,6.25
Michigan,2015,6.0,0.0,6.0
Minnesota,2015,6.875,0.33,7.205
Mississippi,2015,7.0,0.07,7.07
Missouri,2015,4.225,3.58,7.805
Montana,2015,0.0,0.0,0.0
Nebraska,2015,5.5,1.3,6.8
Nevada,2015,6.85,1.09,7.9399999999999995
New Hampshire,2015,0.0,0.0,0.0
New Jersey,2015,7.0,-0.03,6.97
New Mexico,2015,5.125,2.22,7.345000000000001
New York,2015,4.0,4.48,8.48
North Carolina,2015,4.75,2.15,6.9
North Dakota,2015,5.0,1.56,6.5600000000000005
Ohio,2015,5.75,1.35,7.1
Oklahoma,2015,4.5,4.27,8.77
Oregon,2015,0.0,0.0,0.0
Pennsylvania,2015,6.0,0.34,6.34
Rhode Island,2015,7.0,0.0,7.0
South Carolina,2015,6.0,1.13,7.13
South Dakota,2015,4.0,1.83,5.83
Tennessee,2015,7.0,2.45,9.45
Texas,2015,6.25,1.8,8.05
Utah,2015,5.95,0.73,6.68
Vermont,2015,6.0,0.14,6.14
Virginia,2015,5.3,0.33,5.63
Washington,2015,6.5,2.39,8.89
West Virginia,2015,6.0,0.07,6.07
Wisconsin,2015,5.0,0.43,5.43
Wyoming,2015,4.0,1.47,5.47
Alabama,2016,4.0,4.97,8.969999999999999
Alaska,2016,0.0,1.78,1.78
Arizona,2016,5.6,2.65,8.25
Arkansas,2016,6.5,2.8,9.3
California,2016,7.5,0.98,8.48
Colorado,2016,2.9,4.62,7.52
Connecticut,2016,6.35,0.0,6.35
Delaware,2016,0.0,0.0,0.0
District of Columbia,2016,5.75,0.0,5.75
Florida,2016,6.0,0.66,6.66
Georgia,2016,4.0,3.01,7.01
Hawaii,2016,4.0,0.35,4.35
Idaho,2016,6.0,0.03,6.03
Illinois,2016,6.25,2.39,8.64
Indiana,2016,7.0,0.0,7.0
Iowa,2016,6.0,0.79,6.79
Kansas,2016,6.5,2.1,8.6
Kentucky,2016,6.0,0.0,6.0
Louisiana,2016,4.0,5.0,9.0
Maine,2016,5.5,0.0,5.5
Maryland,2016,6.0,0.0,6.0
Massachusetts,2016,6.25,0.0,6.25
Michigan,2016,6.0,0.0,6.0
Minnesota,2016,6.875,0.39,7.265
Mississippi,2016,7.0,0.07,7.07
Missouri,2016,4.225,3.64,7.865
Montana,2016,0.0,0.0,0.0
Nebraska,2016,5.5,1.37,6.87
Nevada,2016,6.85,1.13,7.9799999999999995
New Hampshire,2016,0.0,0.0,0.0
New Jersey,2016,7.0,-0.03,6.97
New Mexico,2016,5.125,2.38,7.505
New York,2016,4.0,4.49,8.49
North Carolina,2016,4.75,2.15,6.9
North Dakota,2016,5.0,1.82,6.82
Ohio,2016,5.75,1.39,7.14
Oklahoma,2016,4.5,4.32,8.82
Oregon,2016,0.0,0.0,0.0
Pennsylvania,2016,6.0,0.34,6.34
Rhode Island,2016,7.0,0.0,7.0
South Carolina,2016,6.0,1.22,7.22
South Dakota,2016,4.0,1.84,5.84
Tennessee,2016,7.0,2.46,9.46
Texas,2016,6.25,1.92,8.17
Utah,2016,5.95,0.74,6.69
Vermont,2016,6.0,0.17,6.17
Virginia,2016,5.3,0.33,5.63
Washington,2016,6.5,2.39,8.89
West Virginia,2016,6.0,0.2,6.2
Wisconsin,2016,5.0,0.41,5.41
Wyoming,2016,4.0,1.42,5.42
